pelapor,tanggal_masuk_laporan,judul_laporan,detail_keluhan,instansi
Anonim,,Pemblokiran Akun Telegram,Pada tanggal 26 saya membeli produk dari akun telegram dan kemudian melakukan transaksi sejumlah uang sebesar rp15.000.000 tetapi point yang saya dapat nya dari pembelajaran hangus begitu saja.,Kementerian Sosial
Anonim,,Pembangunan Bts Sinyal Merah Putih,"Karena terpantau sinyal jelek padahal banyak pabrik, buruh buruh yang kos ataupun kontrak banyak yang sulit sinyal
di alamat jl. poros jl. raya gresik - babat, rejosari, kec. deket, kabupaten lamongan, jawa timur",Kementerian Sosial
Anonim,,Melanjutkan Laporan Dan Perluasan Jaringan Yang Belum Di Tindak Lanjuti Oleh Telkom,"Selamat sore bapak ibu. saya melanjutkan laporan kemarin kepada bapak ibu kementrian telekomunikasi. dengan mengingat perintah presiden dan hukum telekomunikasi disini. memohon ketersediaan bapak dan ibu untuk memprioritas kan laporan kami. karena kami sudah berupaya semaksimal mungkin akan tetapi tidak ada hasil.. disini saya memohon untuk memperluas jaringan sampai ke tempat wilayah kami. wilayah kami sudah di cover oleh kabel optik indihome akan tetapi penuh. untuk penambahan jaringan harus membangun jaringan baru lagi atau kabel baru lagi dan penanaman tiang baru. saya juga sudah mengajukan namun pihak pusat melempar ke brinch setempat dan kebijakan setempat. sedangkan brinch setempat memberikan kebijakan harus 8 orang atau lebih 1 orang untuk memperluas jaringan dan penambahan jaringan. saya juga menanyakan ke pihak pusat ""apakah harus beberapa orang terlebih dahulu?"" namun pusat menjawab ""tidak harus"" lalu saya meminta pusat untuk memberikan arahan agar cepat dibangun. namun pusat selalu melempar kebijakan ke brinch setempat. di mohon terealisasi secepatnya kan pak terima kasih. soal nya sudah beberapa bulan saya menunggu yang kata terrealisasikan. makanya saya mengajukan permohonan agar segera dibangun dan di realisasi kan. mohon sekira nya bapak dan ibu mengoptimalkan segera. saya sudah lebih belasan kali melapor namun tidak ada tanggapan yang memuaskan serta upaya untuk dibangun. semoga bapak ibu kominfo dapat membantu. saya juga pernah meminta tolong ke pihak kominfo banyumas. akan tetapi hasilnya sama aja. dan saya meminta kepada staff span lapor untuk mengawal laporan saya sampai selesai",Kementerian Sosial
Syahril Ramdan,,Tidak Ada Layanan Sinyal,Tidak ada sinyal walaupun kartu sim masih terpasang,Kementerian Sosial
Anonim,,Sampel Uji,"""Siang mas Egi, Untuk sampel Uji Yang tidak ada Made In tapi Serial Number dll ada mas?""",Kementerian Sosial
Anonim,,"Pembiayaan, Konsultasi Teknis, Pengujian",1. menanyakan perihal fitur pengujian APL ID 8746 dan 8747 yang diubah disimpel?; 2. kapan kami mendapatkan waktu pengujian nya?; 3.untuk pengujian telecomport apakah bisa di bbppt?,Kementerian Sosial
Anonim,,"Tata Cara / Prosedur aplikasi, Pembiayaan","""Selamat Sore Bapak/Ibu, bagaimana cara buat akun BBPPT?saya sudah punya akun di sppi, tetapi tidak bisa login ke halaman http://bbppt.postel.go.id/pengujian.keterangan password/username salah, saya sudah cek dan pastikan sudah sama dgn akses sdppioh iya bu, BBPPT sudah bisa uji EMC Radiated dan Conducted blm ya bu ?saya lihat biayanya 5jt, untuk masing2 apa uji EMC keduanya bu ?untuk pengujian 4/G, ini harus semua frequency atau sesuai dengan device kita ya bu/pak ?""",Kementerian Sosial
Anonim,,Kapasitas Lab,"Selamat siang, Untuk saat ini layanan uji EMC lengkap (radiated dan condacted apakah sudah tersedia)?",Kementerian Sosial
Anonim,,"Konsultasi Teknis, Tata Cara Prosedur Aplikasi","""Siang pak, Kami mau melakukan uji telecom port, boleh diinfokan prosedurnya.Untuk Perangkat WiFi Access Point pakCara pengajuannya seperti apa pak/bu ?""",Kementerian Sosial
Anonim,,Regulasi,"""selamat pagiuntuk pengujian conducted emission at terminal dan conducted emission at port RJ45saya mengacu daftarnya menggunakan apa yah""",Kementerian Sosial
